"Blocking Key Value","Frequency"
"1976","76"
"1975","69"
"1974","68"
"1973","65"
"1972","72"
"1971","48"
"1970","613"
"1979","88"
"1978","97"
"1977","104"
"1908","1"
"1990","328"
"1987","222"
"1","89"
"1986","234"
"1985","192"
"1984","181"
"1983","163"
"1982","138"
"1981","121"
"1980","99"
"1907","1"
"1905","1737"
"1904","5"
"1989","296"
"1900","24"
"1988","292"
"2052","1"
"1998","865"
"1997","728"
"1996","662"
"1995","619"
"1994","558"
"1993","449"
"1992","407"
"1991","372"
"1913","1"
"1911","1"
"1999","1017"
"2064","1"
"2062","2"
"1920","2"
"1928","1"
"1927","1"
"1926","2"
"1923","1"
"1931","1"
"1939","3"
"1938","1"
"1937","3"
"1936","2"
"1935","2"
"1934","3"
"1933","2"
"2001","1182"
"2000","1038"
"1943","1"
"1942","1"
"1941","5"
"1940","2"
"1949","6"
"1948","3"
"1947","1"
"1945","2"
"2012","2723"
"2011","2662"
"2010","2603"
"1954","10"
"2009","2373"
"1953","9"
"2008","2147"
"1952","13"
"2007","2403"
"1951","6"
"2006","2595"
"1950","6"
"2005","1997"
"2004","1772"
"2003","1593"
"2002","1367"
"1959","23"
"1958","10"
"1957","12"
"1956","12"
"1955","11"
"2022","41"
"2021","72"
"2020","334"
"1965","19"
"1964","24"
"2019","588"
"1963","12"
"2018","717"
"1962","19"
"2017","943"
"1961","12"
"2016","1086"
"1960","10"
"2015","1498"
"2014","2025"
